InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.01
5,0.12
6,0.422
7,0.753
8,0.933
9,0.988
10,0.997
11,0.999
12,1.0
13,1.0
14,1.0
15,1.0
