InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.002
7,0.021
8,0.106
9,0.361
10,0.651
11,0.868
12,0.977
13,0.996
14,0.999
15,1.0
