InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.043
6,0.222
7,0.574
8,0.864
9,0.968
10,0.993
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
