InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.003
6,0.047
7,0.244
8,0.588
9,0.862
10,0.969
11,0.994
12,0.999
13,1.0
14,1.0
15,1.0
