InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.016
7,0.113
8,0.357
9,0.667
10,0.883
11,0.955
12,0.997
13,0.998
14,1.0
15,1.0
