InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.023
8,0.102
9,0.331
10,0.652
11,0.849
12,0.966
13,0.99
14,0.997
15,1.0
