x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,1801,14073,86300,355612,1076845,2341914,3948890,5143727,5471147,4587274,3201475,1853000,914265,382420,136124,42149,13895,2382,278,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1674,16514,89698,354399,1018869,2284172,3843046,5047944,5290419,4517055,3215514,1953343,1080530,552652,295481,166994,93861,44004,25271,11362,5173,1583,1315,339,345,368,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1664,13576,88077,346473,1004916,2180487,3746574,4913416,5168339,4471443,3223072,2039838,1206547,749549,452610,291653,170897,89073,59555,26714,13652,9459,5894,676,717,734,0,778,0,0,0,0,0,0,0,0,0,0,0
45,1129,13745,79910,337350,973480,2167402,3596666,4709883,5065677,4403364,3256377,2147828,1372493,901093,624055,416469,249523,154031,79091,51426,30275,13895,7229,4116,1405,1085,1134,773,391,0,0,0,0,0,0,0,0,0,0
84,1476,14478,81537,316908,938841,2085097,3533261,4634191,4914049,4303031,3207136,2255364,1532376,1069983,763448,521412,338964,204249,112861,73829,51127,26164,19671,8848,7421,3657,1137,2350,410,0,0,0,0,0,0,0,0,0,0
40,1508,12870,76638,312669,921718,2007288,3455364,4557890,4815911,4217172,3217039,2294023,1611662,1195702,903915,648504,399470,273429,159746,108300,63417,38826,20433,15313,9534,4029,1883,791,1208,412,0,0,0,0,478,0,0,0,0
121,1639,12376,73954,302401,900839,1978374,3346882,4413359,4656978,4144133,3209743,2364189,1773216,1328248,1047535,763394,486819,331382,208552,134202,94394,60296,35103,19112,14135,9907,3776,1156,2006,822,0,0,0,0,0,0,0,0,0
140,1212,12701,74118,294395,882261,1918055,3224356,4317201,4567923,4038871,3215873,2437273,1922965,1493273,1149716,820043,565301,376416,261545,171195,108655,79640,50010,29662,22952,9888,7563,4685,2013,3309,424,438,0,0,0,0,0,0,0
86,1197,12277,70325,288212,847402,1867473,3166552,4156476,4483871,4057593,3173098,2449192,1966655,1628266,1249625,951674,660985,450665,321121,210255,145683,92637,64050,40187,24050,13876,10960,4711,3220,0,855,443,0,0,0,0,0,0,0
128,1001,12319,72071,287836,837670,1826271,3063610,4067011,4367828,3892572,3164424,2497193,2088882,1750796,1407038,1051807,748821,494843,358833,251252,182818,120926,76733,52529,33943,24908,11753,5859,6404,1242,1283,434,457,0,0,0,0,0,0
96,1483,11442,62210,279800,801226,1778962,2986744,3973814,4251911,3870553,3157788,2588577,2163924,1837279,1487718,1117137,806788,593868,412396,293995,226724,140772,106029,57277,45569,22315,16637,7022,3634,3332,0,0,0,0,0,0,0,0,0
84,1533,9889,62484,265137,792468,1721526,2909651,3875635,4178510,3782106,3168639,2591076,2226071,1926585,1588261,1222424,886931,662816,485296,341350,244357,171544,122636,74746,57965,34427,23110,12891,7657,2872,1698,443,0,457,0,0,0,0,0
175,1239,11753,62832,258300,763150,1678317,2860300,3769087,4075141,3667380,3133571,2631216,2319655,2039618,1681661,1336370,973190,705415,535573,374937,288293,209871,140320,106100,74258,48738,26807,14872,8466,6623,2566,1313,0,0,0,0,0,0,0
88,1263,9358,60340,251036,741525,1619479,2722521,3637367,4010616,3661708,3112128,2724669,2429352,2108710,1800450,1337060,1035131,791201,588529,457811,339290,232884,172835,124133,82013,61580,41666,17979,14073,3738,1721,1756,0,0,0,0,0,0,0
42,1524,10588,62523,241807,718736,1575216,2668112,3582980,3905628,3576843,3095670,2734407,2441224,2205014,1865890,1470555,1108000,850249,645171,485525,380036,275863,204114,148171,100729,65441,54064,26180,18551,6235,857,0,0,464,0,0,0,0,0
45,1025,9389,59116,234172,697870,1527227,2600599,3457682,3795342,3523766,3119450,2719627,2526123,2294457,1966129,1588340,1184821,916438,714443,549843,415422,308873,205359,155891,120603,81295,57923,33220,12483,9563,3429,0,0,0,0,0,0,0,0
93,1160,8927,56784,223660,681918,1520395,2525096,3364943,3651153,3469793,3049539,2769847,2583017,2374186,2050027,1647804,1248617,1004425,796207,620363,450546,344504,252209,190233,133388,95825,62773,39091,15349,7446,4679,2200,0,0,0,0,0,0,0
46,1167,8577,56716,221945,663069,1439960,2467143,3277147,3542710,3406907,3033711,2802764,2648384,2446289,2116959,1706927,1330896,1050751,859663,672559,530736,388815,293350,221087,182817,115918,72672,47264,26953,8353,4683,1336,0,463,0,0,0,0,0
88,1030,9212,55580,219249,633605,1411624,2403013,3218985,3447217,3337410,3032700,2782140,2682828,2506870,2164297,1781378,1423665,1130498,927183,736504,572540,440189,306338,249434,177566,133883,95688,54587,27361,8309,4722,1314,454,464,0,0,0,0,0
0,1395,8523,48658,218599,616777,1370065,2319271,3147212,3383990,3253554,2995788,2852573,2737988,2534416,2217888,1874541,1474817,1207148,987000,796255,611942,448497,371852,262382,203112,159062,97942,53433,32573,20322,6820,1332,0,0,0,0,0,0,0
98,706,9241,50384,208272,601717,1330051,2261860,3038713,3313682,3237446,2939496,2842389,2769950,2595489,2321024,1885933,1555986,1263817,1041288,847203,656717,522231,393633,312425,251748,165760,116135,83134,36597,14967,5539,1770,450,935,0,0,0,0,0
97,970,8367,48224,203956,576576,1288952,2177564,2937391,3247473,3177537,2951489,2859240,2782157,2647034,2354141,1992786,1627008,1337326,1092789,925660,735269,552822,441428,342897,268056,191664,130631,83219,44383,19473,7290,4389,901,468,0,0,0,0,0
91,1146,8513,46299,194994,571760,1269079,2134847,2880585,3172442,3129093,2903695,2869249,2785684,2727208,2429435,2034782,1642681,1377908,1140243,955358,775069,591437,455541,381334,291139,217908,163138,93231,56806,19510,8997,2176,2265,466,0,0,0,0,0
42,1347,8541,46398,190477,549954,1236451,2080872,2794243,3089322,3035869,2887286,2839097,2905414,2720322,2395632,2096749,1737175,1447389,1244788,1026179,853334,658350,498207,406085,347831,255917,167151,108955,52702,25739,11945,5280,1354,457,0,0,0,0,0
95,987,6993,43541,178666,541660,1183819,2007968,2722706,3008989,2998268,2867684,2859431,2923292,2800311,2492719,2145788,1772245,1508927,1293599,1087240,858096,700926,544842,458097,380200,271055,184611,124210,62844,30314,15433,4836,1342,0,0,0,0,0,0
91,1056,7233,41629,175519,532200,1164323,1981278,2628816,2954534,2950809,2804274,2831271,2888210,2805173,2540580,2207295,1866806,1581658,1372952,1138811,937102,758405,582545,500191,391801,305391,197969,129444,72932,34916,14974,4402,0,467,0,0,0,0,0
0,680,7449,41673,166611,520966,1130183,1926269,2595047,2871446,2909028,2763067,2855541,2934505,2842688,2567840,2173890,1898258,1643063,1415933,1203567,990925,798664,635559,536944,448762,335344,242269,140028,76568,30737,16742,5288,1811,0,0,0,0,0,0
0,971,5740,41176,170043,494825,1082222,1837688,2506783,2815716,2833669,2770448,2832186,2946110,2877825,2606576,2274545,1953775,1705633,1500514,1230068,1072886,844956,721468,585065,492778,369700,277098,146436,80984,44051,15799,6162,2257,934,0,0,0,0,0
0,917,6816,40216,168552,472755,1061580,1796051,2431620,2742332,2774304,2752287,2818724,2942772,2930827,2685894,2295616,2000140,1751765,1592336,1349950,1070288,866485,729121,624038,517421,397403,291233,173471,102394,46010,14518,6578,2248,1398,0,0,0,0,0
44,1098,6423,40972,156012,471963,1036180,1741421,2398500,2678394,2720391,2678683,2817106,2927621,2945080,2664920,2335818,2055888,1847066,1629677,1377290,1149967,946005,768511,688854,600682,431026,287899,209755,106736,52337,28610,6154,2710,1389,480,0,0,0,0
93,683,7408,37347,151320,458638,1012364,1720458,2284181,2603321,2686296,2647619,2815778,2950060,2982928,2741424,2371978,2138465,1858615,1665016,1436811,1170434,963243,856262,708827,606448,486306,337853,216923,122066,56550,26472,8750,2710,932,482,0,0,0,0
0,882,7504,38567,148831,452187,959648,1679756,2233171,2556626,2614722,2641075,2832297,2956188,2971265,2725338,2397987,2133607,1892800,1706900,1509860,1247052,1035722,902533,780345,662524,538056,369417,252101,117814,68913,29097,6167,449,924,0,0,0,0,0
95,731,7683,34216,142803,434824,955924,1608734,2197813,2473498,2560250,2609551,2782917,2979216,2983326,2759074,2446711,2215490,1956917,1769991,1531708,1333245,1103869,950061,830230,687937,557444,408548,254614,142222,60629,26534,7473,3626,1866,952,0,0,0,0
0,682,5667,33694,140262,414447,925299,1574551,2130090,2421296,2512305,2593600,2779208,2960206,2994267,2745948,2442897,2248962,2053664,1789148,1608726,1384746,1175366,1007306,854192,787527,615352,438526,264586,158711,73928,32063,13641,4068,928,1423,0,0,0,0
50,867,6349,35080,139706,409068,896818,1542084,2072794,2367632,2452009,2568994,2758054,2964861,3021101,2791466,2500488,2271982,2064753,1853275,1633545,1417489,1189465,1036492,952976,838217,619897,459126,294153,165229,77571,35055,13672,2713,1851,486,0,0,0,0
41,990,5048,31380,145143,391518,868078,1471596,2021242,2292102,2422134,2536705,2702460,2931360,3001149,2792843,2578452,2321730,2122430,1945637,1736514,1464182,1241631,1145781,994289,861173,693441,482702,335841,181391,93405,33732,17135,3173,469,0,0,0,0,0
40,789,5699,33078,125635,368887,866560,1459451,1957731,2233858,2349901,2497107,2685773,2936498,2992366,2836312,2589478,2368171,2193497,1932591,1793386,1502677,1307327,1197223,1059318,928508,740753,560490,349757,192401,92304,38405,14999,3176,4175,0,0,0,0,0
0,403,5270,33221,130534,375585,835851,1399627,1908916,2177477,2303534,2446887,2652277,2964307,3010101,2860750,2540408,2402129,2231084,2060681,1815291,1563028,1365750,1235015,1087073,974654,817737,596484,375696,198991,98855,41050,14523,9027,460,481,0,0,0,0
44,426,5502,27298,122367,364662,794012,1378333,1873692,2155782,2285970,2459878,2676229,2926715,2969880,2832546,2655788,2358128,2245761,2046999,1845586,1627236,1411817,1266230,1187081,1019824,866549,630402,375735,209590,108473,47896,19359,4064,3714,485,0,0,0,0
177,443,4707,27632,121920,356908,798785,1312457,1800322,2109363,2244426,2379398,2635464,2898872,3017678,2807869,2587500,2453361,2316243,2144848,1906597,1673786,1496800,1343976,1218747,1111393,921037,654419,414906,233601,111352,43162,18493,7678,0,0,0,0,0,0
0,334,5263,28002,123118,342675,751381,1311302,1779880,2068644,2184169,2357162,2634648,2860423,2956289,2874929,2635081,2453475,2322989,2160469,1964119,1722172,1538206,1410528,1261441,1174973,948033,708293,450986,253601,109687,48770,14932,4074,1853,470,0,0,0,0
