x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,0,0,167,6460,125712,1075085,4279253,8399902,8803844,5087617,1695370,340263,39617,2163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7582,127655,1053824,4132767,8164715,8607731,4929267,1689704,505804,350661,322659,195803,73879,21628,8271,5606,4392,1521,953,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,87,7203,127828,1016125,4032115,8003083,8280979,4794187,1700190,677611,639931,617670,386912,151093,49902,28076,20813,12004,7596,1260,0,1033,351,363,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,80,5585,117030,999205,3929674,7742462,8115720,4648407,1707183,807113,912318,918429,553724,223336,79442,53565,39867,26336,13101,2848,1334,1034,356,373,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,171,5484,113012,968514,3802154,7543075,7844499,4569035,1722656,942829,1174306,1172083,722361,292761,115574,93451,84090,51805,25887,9531,6270,3068,1424,1470,761,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,167,4817,115562,939306,3695899,7402325,7640149,4400704,1689503,1083607,1409435,1395198,890716,365058,157566,134562,125798,71097,36224,14240,7590,8913,6048,1477,1528,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,86,6542,111885,909782,3614479,7135323,7429663,4337041,1710346,1200706,1638023,1640195,1015524,432983,195859,193001,167032,102166,53338,19028,9265,8881,7086,5141,2652,389,0,413,0,0,0,0,0,0,0,0,0
0,0,0,168,5674,100918,898923,3530923,6899955,7214942,4235808,1703347,1320264,1885607,1854993,1143939,497676,238500,250394,224026,146708,70908,24812,19514,16089,7111,6603,3034,1169,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5716,103516,870019,3425358,6749362,6975573,4116388,1722987,1440737,2084177,2077509,1277687,543547,289604,291518,278635,186505,72930,36217,33417,23982,18038,12853,3789,2355,0,0,0,0,0,0,0,0,0,0,0
0,0,0,83,4301,106408,852526,3303009,6576464,6813408,4016892,1697282,1512014,2253454,2268257,1406204,600819,345998,350378,364525,232064,112115,54609,42673,36322,27307,12532,6436,1953,401,0,0,0,0,0,0,0,0,0,0
0,0,0,341,5604,98688,829073,3212802,6398979,6628905,3881489,1710942,1610375,2440591,2451044,1533692,675145,383691,430371,432894,272427,129851,63471,43902,47321,30884,20959,8687,3514,0,0,0,0,0,0,0,0,0,0,0
