x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0,0,146,3133,43357,237636,887571,2101737,3245312,3446245,2846221,2435246,2769545,3273017,3286967,2675214,1983502,1675119,1641838,1480228,1189210,864186,646256,538596,504960,401491,292483,200316,83034,37515,10789,1720,876,0,0,0,0,0,0,0
0,0,74,4231,38743,239888,861446,2032262,3146034,3383432,2775924,2387020,2759021,3280124,3352214,2737038,2060874,1659687,1721299,1574292,1256382,864856,702385,615211,542721,469629,339440,205484,102992,39930,10806,849,445,0,0,0,0,0,0,0
0,0,409,3480,41416,240281,860580,2000993,3020327,3296730,2702494,2360672,2754087,3347749,3345394,2738349,2031118,1802934,1754873,1640803,1298638,965042,729150,642250,603310,520961,369248,225976,114568,42396,12878,4286,442,0,0,0,0,0,0,0
0,0,282,3374,35997,218857,816484,1927144,2989130,3203527,2636954,2352623,2796363,3370182,3375602,2755775,2083045,1810704,1830798,1746237,1361201,995401,760340,696281,665146,545618,411336,245039,122535,43900,17034,4287,0,0,0,0,0,0,0,0
0,0,215,3547,37889,214979,810191,1903485,2842417,3110900,2568342,2316165,2760892,3427565,3414948,2785784,2116961,1867664,1863910,1783151,1465105,1048406,832184,740293,694325,600020,464426,285139,144356,48005,15390,3853,2217,0,0,0,0,0,0,0
0,0,0,2564,35622,219599,773141,1832298,2807658,2967180,2561773,2288412,2753123,3445476,3413142,2790101,2163287,1937737,1953338,1880791,1448184,1106197,859095,801922,737198,676422,522414,318850,147478,56091,18722,4688,443,0,0,0,0,0,0,0
0,0,147,3345,38818,199064,767115,1752415,2734583,2916016,2462817,2257544,2803147,3432172,3437778,2801309,2181498,1974009,2015682,1898143,1557585,1175396,926667,876758,790420,711753,560209,333268,170206,79536,21199,3436,437,907,0,0,0,0,0,0
0,0,139,3268,33256,198553,745457,1732108,2666832,2818944,2445742,2231083,2752395,3395894,3443338,2907684,2190772,2064615,2058244,1996021,1606499,1183220,962787,884047,854693,756250,582771,361354,181513,75020,22397,2989,1763,0,0,0,0,0,0,0
0,0,146,3108,31224,196099,702047,1668784,2549693,2790618,2363982,2223749,2762531,3412467,3509383,2833929,2244987,2117199,2141352,2024738,1652092,1242209,1050544,935429,922287,787382,675803,406936,186153,80366,21657,4700,878,0,0,0,0,0,0,0
0,0,0,3693,29340,195330,701201,1635024,2538826,2697856,2308743,2150049,2774924,3427167,3475566,2847691,2255245,2088442,2210535,2067880,1747302,1278811,1090114,991883,987922,895070,678516,417086,207381,87934,25765,4280,873,0,0,0,0,0,0,0
0,0,214,2701,33254,193172,674703,1565422,2430977,2635863,2248316,2173757,2691384,3425054,3478474,2836209,2281238,2179393,2273064,2164306,1775571,1363796,1138665,1079365,1047448,933394,756939,471024,246578,94910,24544,9860,2208,0,0,0,0,0,0,0
0,0,220,3077,30985,180687,663438,1545229,2380833,2578012,2238397,2111016,2718525,3375408,3401376,2897170,2309077,2187089,2348652,2195685,1841039,1409215,1139229,1132864,1093920,1025932,801404,498972,241294,100465,38216,8134,883,0,0,0,0,0,0,0
0,0,206,3593,28711,167228,640776,1480716,2277637,2513252,2185419,2109777,2704977,3409259,3457368,2874038,2318714,2275770,2352047,2297526,1888621,1476860,1200943,1154872,1165412,1061502,838518,537191,286020,115492,32017,5573,1328,0,0,0,0,0,0,0
0,0,209,2454,28352,171435,612916,1462180,2221853,2390377,2117057,2076832,2686470,3410514,3532795,2892568,2390994,2285114,2412729,2328386,1919703,1436604,1252263,1198815,1247069,1140714,901607,591233,295472,121913,42410,11182,1760,0,0,0,0,0,0,0
