time,Btimeseries
0.0,1.0e7
1.0,1.03433e7
2.0,1.066e7
3.0,1.09926e7
4.0,1.13272e7
5.0,1.16604e7
6.0,1.19898e7
7.0,1.23293e7
8.0,1.26594e7
9.0,1.29944e7
10.0,1.3326e7
11.0,1.36613e7
12.0,1.39971e7
13.0,1.43377e7
14.0,1.46716e7
15.0,1.50139e7
16.0,1.53634e7
17.0,1.57183e7
18.0,1.60749e7
19.0,1.64379e7
20.0,1.68127e7
21.0,1.71972e7
22.0,1.76007e7
23.0,1.80004e7
24.0,1.84252e7
25.0,1.88567e7
26.0,1.93015e7
27.0,1.97562e7
28.0,2.02305e7
29.0,2.07162e7
30.0,2.12245e7
31.0,2.17301e7
32.0,2.22637e7
33.0,2.27998e7
34.0,2.33582e7
35.0,2.39196e7
36.0,2.44914e7
37.0,2.50771e7
38.0,2.56757e7
39.0,2.62813e7
40.0,2.69008e7
41.0,2.75327e7
42.0,2.81635e7
43.0,2.88168e7
44.0,2.94712e7
45.0,3.01188e7
46.0,3.08092e7
47.0,3.14834e7
48.0,3.21647e7
49.0,3.28786e7
50.0,3.35977e7
51.0,3.43307e7
52.0,3.50666e7
53.0,3.58056e7
54.0,3.65527e7
55.0,3.7324e7
56.0,3.80984e7
57.0,3.88683e7
58.0,3.96147e7
59.0,4.03704e7
60.0,4.10825e7
61.0,4.17804e7
62.0,4.24281e7
63.0,4.30408e7
64.0,4.35876e7
65.0,4.40832e7
66.0,4.4534e7
67.0,4.49238e7
68.0,4.52613e7
69.0,4.55485e7
70.0,4.5781e7
71.0,4.59817e7
72.0,4.61378e7
73.0,4.62667e7
74.0,4.63663e7
75.0,4.64443e7
76.0,4.64964e7
77.0,4.65341e7
78.0,4.65614e7
79.0,4.65806e7
80.0,4.65727e7
81.0,4.65547e7
82.0,4.65319e7
83.0,4.65015e7
84.0,4.64568e7
85.0,4.64048e7
86.0,4.63402e7
87.0,4.62641e7
88.0,4.61841e7
89.0,4.6088e7
90.0,4.59879e7
91.0,4.58799e7
92.0,4.57714e7
93.0,4.56704e7
94.0,4.55733e7
95.0,4.54778e7
96.0,4.53977e7
97.0,4.532e7
98.0,4.52459e7
99.0,4.51771e7
100.0,4.51145e7
101.0,4.50561e7
102.0,4.49976e7
103.0,4.49481e7
104.0,4.4901e7
105.0,4.48586e7
106.0,4.48204e7
107.0,4.47819e7
108.0,4.47466e7
109.0,4.4713e7
110.0,4.46839e7
111.0,4.46533e7
112.0,4.46194e7
113.0,4.45891e7
114.0,4.45591e7
115.0,4.45312e7
116.0,4.45035e7
117.0,4.44758e7
118.0,4.44455e7
119.0,4.44199e7
120.0,4.43935e7
121.0,4.43673e7
122.0,4.43399e7
123.0,4.43117e7
124.0,4.42814e7
