time,Itimeseries
0.0,0.0
0.1,100100.0
0.2,197100.0
0.30000000000000004,293400.0
0.4,387100.0
0.5,483500.0
0.6000000000000001,577000.0
0.7000000000000001,672400.0
0.8,764600.0
0.9,854700.0
1.0,947400.0
1.1,1.0383e6
1.2000000000000002,1.1311e6
1.3,1.2153e6
1.4000000000000001,1.3048e6
1.5,1.3957e6
1.6,1.4823e6
1.7000000000000002,1.572e6
1.8,1.6612e6
1.9000000000000001,1.7506e6
2.0,1.8304e6
2.1,1.9133e6
2.2,1.9967e6
2.3000000000000003,2.0791e6
2.4000000000000004,2.1602e6
2.5,2.2374e6
2.6,2.3187e6
2.7,2.3993e6
2.8000000000000003,2.4815e6
2.9000000000000004,2.558e6
3.0,2.6367e6
3.1,2.7154e6
3.2,2.7902e6
3.3000000000000003,2.8704e6
3.4000000000000004,2.9456e6
3.5,3.02e6
3.6,3.0927e6
3.7,3.166e6
3.8000000000000003,3.2415e6
3.9000000000000004,3.3103e6
4.0,3.3816e6
4.1000000000000005,3.4476e6
4.2,3.517e6
4.3,3.5847e6
4.4,3.6493e6
4.5,3.7162e6
4.6000000000000005,3.7804e6
4.7,3.8483e6
4.800000000000001,3.9138e6
4.9,3.9825e6
5.0,4.0472e6
5.1000000000000005,4.1138e6
5.2,4.1733e6
5.300000000000001,4.2344e6
5.4,4.2956e6
5.5,4.3542e6
5.6000000000000005,4.4149e6
5.7,4.473e6
5.800000000000001,4.5291e6
5.9,4.5873e6
6.0,4.6461e6
6.1000000000000005,4.7014e6
6.2,4.7599e6
6.300000000000001,4.8147e6
6.4,4.8684e6
6.5,4.9233e6
6.6000000000000005,4.9758e6
6.7,5.0305e6
6.800000000000001,5.0863e6
6.9,5.1399e6
7.0,5.1902e6
7.1000000000000005,5.2497e6
7.2,5.2975e6
7.300000000000001,5.3469e6
7.4,5.3956e6
7.5,5.4429e6
7.6000000000000005,5.4926e6
7.7,5.5424e6
7.800000000000001,5.594e6
7.9,5.6388e6
8.0,5.6859e6
8.1,5.7298e6
8.200000000000001,5.7758e6
8.3,5.8248e6
8.4,5.8701e6
8.5,5.9133e6
8.6,5.9575e6
8.700000000000001,6.0006e6
8.8,6.0453e6
8.9,6.0852e6
9.0,6.1232e6
9.1,6.1618e6
9.200000000000001,6.2026e6
9.3,6.2419e6
9.4,6.2798e6
9.5,6.317e6
9.600000000000001,6.3576e6
9.700000000000001,6.3965e6
9.8,6.437e6
9.9,6.475e6
10.0,6.5143e6
10.100000000000001,6.5523e6
10.200000000000001,6.5869e6
10.3,6.62e6
10.4,6.656e6
10.5,6.691e6
10.600000000000001,6.7239e6
10.700000000000001,6.7605e6
10.8,6.7958e6
10.9,6.8312e6
11.0,6.8631e6
11.100000000000001,6.8962e6
11.200000000000001,6.9297e6
11.3,6.9632e6
11.4,6.995e6
11.5,7.0263e6
11.600000000000001,7.0578e6
11.700000000000001,7.087e6
11.8,7.116e6
11.9,7.148e6
12.0,7.1756e6
12.100000000000001,7.2022e6
12.200000000000001,7.2339e6
12.3,7.2657e6
12.4,7.2932e6
12.5,7.3185e6
12.600000000000001,7.3469e6
12.700000000000001,7.3752e6
12.8,7.4012e6
12.9,7.4281e6
13.0,7.4564e6
13.100000000000001,7.4822e6
13.200000000000001,7.5034e6
13.3,7.529e6
13.4,7.5538e6
13.5,7.5794e6
13.600000000000001,7.6054e6
13.700000000000001,7.6308e6
13.8,7.6529e6
13.9,7.6761e6
14.0,7.6994e6
14.100000000000001,7.7209e6
14.200000000000001,7.7423e6
14.3,7.7654e6
14.4,7.7897e6
14.5,7.8103e6
14.600000000000001,7.8309e6
14.700000000000001,7.8514e6
14.8,7.8728e6
14.9,7.8932e6
15.0,7.9144e6
15.100000000000001,7.9352e6
15.200000000000001,7.957e6
15.3,7.9754e6
15.4,7.9958e6
15.5,8.0143e6
15.600000000000001,8.034e6
15.700000000000001,8.051e6
15.8,8.0695e6
15.9,8.0882e6
16.0,8.1074e6
16.1,8.1239e6
16.2,8.1415e6
16.3,8.1597e6
16.400000000000002,8.1747e6
16.5,8.191e6
16.6,8.2073e6
16.7,8.2238e6
16.8,8.2399e6
16.900000000000002,8.254e6
17.0,8.2717e6
17.1,8.2863e6
17.2,8.3025e6
17.3,8.3169e6
17.400000000000002,8.3328e6
17.5,8.3458e6
17.6,8.3609e6
17.7,8.3745e6
17.8,8.3889e6
17.900000000000002,8.4042e6
18.0,8.417e6
18.1,8.4307e6
18.2,8.4442e6
18.3,8.4585e6
18.400000000000002,8.4721e6
18.5,8.486e6
18.6,8.4978e6
18.7,8.5088e6
18.8,8.5211e6
18.900000000000002,8.5342e6
19.0,8.5472e6
19.1,8.5595e6
19.200000000000003,8.5711e6
19.3,8.5829e6
19.400000000000002,8.5959e6
19.5,8.6058e6
19.6,8.6165e6
19.700000000000003,8.6275e6
19.8,8.6399e6
19.900000000000002,8.6499e6
20.0,8.6604e6
20.1,8.6708e6
20.200000000000003,8.682e6
20.3,8.6909e6
20.400000000000002,8.7007e6
20.5,8.7105e6
20.6,8.7196e6
20.700000000000003,8.7284e6
20.8,8.7372e6
20.900000000000002,8.7458e6
21.0,8.7546e6
21.1,8.7628e6
21.200000000000003,8.7711e6
21.3,8.7806e6
21.400000000000002,8.7891e6
21.5,8.7997e6
21.6,8.8079e6
21.700000000000003,8.8153e6
21.8,8.8224e6
21.900000000000002,8.8319e6
22.0,8.8403e6
22.1,8.8477e6
22.200000000000003,8.8549e6
22.3,8.8623e6
22.400000000000002,8.8706e6
22.5,8.8781e6
22.6,8.8866e6
22.700000000000003,8.8932e6
22.8,8.9e6
22.900000000000002,8.9073e6
23.0,8.9142e6
23.1,8.9215e6
23.200000000000003,8.9284e6
23.3,8.935e6
23.400000000000002,8.9404e6
23.5,8.9463e6
23.6,8.9532e6
23.700000000000003,8.9594e6
