time,Ptimeseries
0.0,1.0e7
0.1,9.896e6
0.2,9.7979e6
0.30000000000000004,9.6976e6
0.4,9.5979e6
0.5,9.5004e6
0.6000000000000001,9.4051e6
0.7000000000000001,9.3086e6
0.8,9.2152e6
0.9,9.1229e6
1.0,9.0271e6
1.1,8.9357e6
1.2000000000000002,8.8393e6
1.3,8.7491e6
1.4000000000000001,8.66e6
1.5,8.5668e6
1.6,8.4788e6
1.7000000000000002,8.3864e6
1.8,8.2966e6
1.9000000000000001,8.2097e6
2.0,8.1242e6
2.1,8.0388e6
2.2,7.953e6
2.3000000000000003,7.8682e6
2.4000000000000004,7.7777e6
2.5,7.6955e6
2.6,7.6075e6
2.7,7.5248e6
2.8000000000000003,7.4411e6
2.9000000000000004,7.3606e6
3.0,7.2797e6
3.1,7.2006e6
3.2,7.121e6
3.3000000000000003,7.0336e6
3.4000000000000004,6.9545e6
3.5,6.8771e6
3.6,6.7994e6
3.7,6.7251e6
3.8000000000000003,6.6476e6
3.9000000000000004,6.5752e6
4.0,6.5039e6
4.1000000000000005,6.4319e6
4.2,6.3567e6
4.3,6.2834e6
4.4,6.2145e6
4.5,6.1435e6
4.6000000000000005,6.0781e6
4.7,6.0023e6
4.800000000000001,5.9297e6
4.9,5.8541e6
5.0,5.7903e6
5.1000000000000005,5.7225e6
5.2,5.6546e6
5.300000000000001,5.5886e6
5.4,5.5255e6
5.5,5.4584e6
5.6000000000000005,5.3931e6
5.7,5.3273e6
5.800000000000001,5.2659e6
5.9,5.2047e6
6.0,5.1424e6
6.1000000000000005,5.0791e6
6.2,5.0185e6
6.300000000000001,4.959e6
6.4,4.9008e6
6.5,4.8383e6
6.6000000000000005,4.7807e6
6.7,4.7219e6
6.800000000000001,4.6686e6
6.9,4.6118e6
7.0,4.5548e6
7.1000000000000005,4.5004e6
7.2,4.4451e6
7.300000000000001,4.3897e6
7.4,4.3347e6
7.5,4.2801e6
7.6000000000000005,4.2273e6
7.7,4.1762e6
7.800000000000001,4.1229e6
7.9,4.0728e6
8.0,4.02e6
8.1,3.9703e6
8.200000000000001,3.9153e6
8.3,3.8629e6
8.4,3.8129e6
8.5,3.7648e6
8.6,3.7156e6
8.700000000000001,3.6682e6
8.8,3.6231e6
8.9,3.5742e6
9.0,3.5291e6
9.1,3.4809e6
9.200000000000001,3.4391e6
9.3,3.3945e6
9.4,3.3502e6
9.5,3.3068e6
9.600000000000001,3.2655e6
9.700000000000001,3.2255e6
9.8,3.181e6
9.9,3.1408e6
10.0,3.0992e6
10.100000000000001,3.0615e6
10.200000000000001,3.0209e6
10.3,2.9816e6
10.4,2.9411e6
10.5,2.9053e6
10.600000000000001,2.8651e6
10.700000000000001,2.828e6
10.8,2.7912e6
10.9,2.7503e6
11.0,2.714e6
11.100000000000001,2.6803e6
11.200000000000001,2.6439e6
11.3,2.6087e6
11.4,2.5704e6
11.5,2.5365e6
11.600000000000001,2.5014e6
11.700000000000001,2.4691e6
11.8,2.4359e6
11.9,2.4017e6
12.0,2.3669e6
12.100000000000001,2.3322e6
12.200000000000001,2.301e6
12.3,2.2658e6
12.4,2.2342e6
12.5,2.2035e6
12.600000000000001,2.1711e6
12.700000000000001,2.1441e6
12.8,2.1151e6
12.9,2.085e6
13.0,2.0517e6
13.100000000000001,2.0207e6
13.200000000000001,1.9898e6
13.3,1.9618e6
13.4,1.9364e6
13.5,1.9095e6
13.600000000000001,1.8852e6
13.700000000000001,1.8557e6
13.8,1.8301e6
13.9,1.8054e6
14.0,1.7801e6
14.100000000000001,1.7577e6
14.200000000000001,1.7304e6
14.3,1.7065e6
14.4,1.6795e6
14.5,1.6563e6
14.600000000000001,1.6339e6
14.700000000000001,1.6081e6
14.8,1.5855e6
14.9,1.5635e6
15.0,1.5407e6
15.100000000000001,1.5194e6
15.200000000000001,1.4989e6
15.3,1.4744e6
15.4,1.4514e6
15.5,1.4304e6
15.600000000000001,1.4119e6
15.700000000000001,1.3929e6
15.8,1.3701e6
15.9,1.3501e6
16.0,1.3293e6
16.1,1.3092e6
16.2,1.2895e6
16.3,1.2684e6
16.400000000000002,1.2502e6
16.5,1.2315e6
16.6,1.2119e6
16.7,1.1935e6
16.8,1.1785e6
16.900000000000002,1.1598e6
17.0,1.1422e6
17.1,1.124e6
17.2,1.1093e6
17.3,1.0925e6
17.400000000000002,1.0754e6
17.5,1.0602e6
17.6,1.0431e6
17.7,1.028e6
17.8,1.014e6
17.900000000000002,996600.0
18.0,979500.0
18.1,965100.0
18.2,950200.0
18.3,936400.0
18.400000000000002,920800.0
18.5,903900.0
18.6,889600.0
18.7,877200.0
18.8,864100.0
18.900000000000002,850700.0
19.0,837900.0
19.1,825700.0
19.200000000000003,814200.0
19.3,798200.0
19.400000000000002,788500.0
19.5,776400.0
19.6,764000.0
19.700000000000003,752100.0
19.8,740500.0
19.900000000000002,729700.0
20.0,716000.0
20.1,705300.0
20.200000000000003,694200.0
20.3,680900.0
20.400000000000002,667700.0
20.5,657200.0
20.6,646700.0
20.700000000000003,636900.0
20.8,626100.0
20.900000000000002,616300.0
21.0,606900.0
21.1,597500.0
21.200000000000003,588000.0
21.3,576700.0
21.400000000000002,567600.0
21.5,558800.0
21.6,546800.0
21.700000000000003,537900.0
21.8,529900.0
21.900000000000002,519900.0
22.0,510800.0
22.1,502000.0
22.200000000000003,494200.0
22.3,487000.0
22.400000000000002,478600.0
22.5,469900.0
22.6,461500.0
22.700000000000003,453500.0
22.8,445600.0
22.900000000000002,438800.0
23.0,430200.0
23.1,422500.0
23.200000000000003,414400.0
23.3,407700.0
23.400000000000002,401400.0
23.5,395200.0
23.6,388400.0
23.700000000000003,382100.0
23.8,374600.0
23.900000000000002,367400.0
24.0,360400.0
24.1,354000.0
24.200000000000003,347800.0
24.3,340100.0
24.400000000000002,334000.0
24.5,328000.0
24.6,322600.0
24.700000000000003,316200.0
24.8,311600.0
24.900000000000002,306400.0
25.0,301500.0
25.1,295100.0
25.200000000000003,289100.0
25.3,283000.0
25.400000000000002,277900.0
25.5,273700.0
25.6,295400.0
25.700000000000003,304600.0
25.8,310800.0
25.900000000000002,398600.0
26.0,607400.0
26.1,908100.0
26.200000000000003,1.3601e6
26.3,2.2493e6
26.400000000000002,3.6559e6
26.5,5.8851e6
26.6,8.6046e6
26.700000000000003,1.24818e7
26.8,1.70019e7
26.900000000000002,2.286e7
27.0,2.92838e7
27.1,3.71644e7
27.200000000000003,4.55551e7
27.3,5.42723e7
27.400000000000002,6.44501e7
27.5,7.45102e7
27.6,8.45269e7
27.700000000000003,9.41605e7
27.8,1.034429e8
27.900000000000002,1.123408e8
28.0,1.208612e8
28.1,1.288022e8
28.200000000000003,1.367461e8
28.3,1.434558e8
28.400000000000002,1.504445e8
28.5,1.570381e8
28.6,1.630486e8
28.700000000000003,1.678311e8
28.8,1.730528e8
28.900000000000002,1.773421e8
29.0,1.818117e8
29.1,1.854052e8
29.200000000000003,1.887947e8
29.3,1.912669e8
29.400000000000002,1.944154e8
29.5,1.970011e8
29.6,1.990252e8
29.700000000000003,2.004976e8
29.8,2.020212e8
29.900000000000002,2.038584e8
30.0,2.048531e8
30.1,2.05529e8
30.200000000000003,2.063845e8
30.3,2.06439e8
30.400000000000002,2.063718e8
30.5,2.061142e8
30.6,2.056326e8
30.700000000000003,2.052815e8
30.8,2.043389e8
30.900000000000002,2.036798e8
31.0,2.0267e8
31.1,2.011148e8
31.200000000000003,2.000675e8
31.3,1.986581e8
31.400000000000002,1.971661e8
31.5,1.953038e8
31.6,1.939631e8
31.700000000000003,1.924341e8
31.8,1.910212e8
31.900000000000002,1.893933e8
32.0,1.877206e8
32.1,1.859494e8
32.2,1.841449e8
32.300000000000004,1.820888e8
32.4,1.80184e8
32.5,1.785156e8
32.6,1.770177e8
32.7,1.752028e8
32.800000000000004,1.734043e8
32.9,1.713676e8
33.0,1.695155e8
33.1,1.68119e8
33.2,1.664492e8
33.300000000000004,1.646785e8
33.4,1.62911e8
33.5,1.611374e8
33.6,1.595845e8
33.7,1.579861e8
33.800000000000004,1.564352e8
33.9,1.551719e8
34.0,1.536517e8
34.1,1.523585e8
34.2,1.510183e8
34.300000000000004,1.49367e8
34.4,1.481653e8
34.5,1.46546e8
34.6,1.452835e8
34.7,1.436802e8
34.800000000000004,1.422482e8
34.9,1.409646e8
35.0,1.40036e8
35.1,1.388946e8
35.2,1.375454e8
35.300000000000004,1.360877e8
35.4,1.348713e8
35.5,1.338411e8
35.6,1.324034e8
35.7,1.312927e8
35.800000000000004,1.30147e8
35.9,1.288921e8
36.0,1.280215e8
36.1,1.268555e8
36.2,1.257743e8
36.300000000000004,1.246589e8
36.4,1.234377e8
36.5,1.223588e8
36.6,1.214546e8
36.7,1.203692e8
36.800000000000004,1.19402e8
36.9,1.182066e8
37.0,1.1727e8
37.1,1.162938e8
37.2,1.151597e8
