time,Btimeseries
0.0,1.0e8
1.0,1.03155e8
2.0,1.06271e8
3.0,1.09414e8
4.0,1.12495e8
5.0,1.15522e8
6.0,1.18455e8
7.0,1.21403e8
8.0,1.24313e8
9.0,1.27085e8
10.0,1.29921e8
11.0,1.32734e8
12.0,1.35562e8
13.0,1.38442e8
14.0,1.4131e8
15.0,1.44138e8
16.0,1.47103e8
17.0,1.49984e8
18.0,1.52929e8
19.0,1.5598e8
20.0,1.5904e8
20.0,1.5904e8
21.0,1.5904e8
22.0,1.5904e8
23.0,1.59032e8
24.0,1.5897e8
25.0,1.58746e8
26.0,1.58169e8
27.0,1.56886e8
28.0,1.55047e8
29.0,1.52894e8
30.0,1.50722e8
31.0,1.48731e8
32.0,1.47024e8
33.0,1.45744e8
34.0,1.44703e8
35.0,1.4378e8
36.0,1.43077e8
37.0,1.42527e8
38.0,1.42092e8
39.0,1.41777e8
40.0,1.41519e8
41.0,1.41324e8
42.0,1.41153e8
43.0,1.41045e8
44.0,1.40936e8
45.0,1.40863e8
46.0,1.40809e8
47.0,1.40773e8
48.0,1.40758e8
49.0,1.40745e8
50.0,1.40743e8
51.0,1.40742e8
52.0,1.40742e8
53.0,1.40742e8
54.0,1.40742e8
55.0,1.40742e8
56.0,1.40742e8
57.0,1.40742e8
58.0,1.40742e8
59.0,1.40742e8
60.0,1.40742e8
61.0,1.40742e8
62.0,1.40742e8
63.0,1.40742e8
64.0,1.40742e8
65.0,1.40742e8
66.0,1.40742e8
67.0,1.40742e8
68.0,1.40742e8
69.0,1.40742e8
70.0,1.40742e8
71.0,1.40742e8
72.0,1.40742e8
73.0,1.40742e8
74.0,1.40742e8
75.0,1.40742e8
76.0,1.40742e8
77.0,1.40742e8
78.0,1.40742e8
79.0,1.40742e8
80.0,1.40742e8
81.0,1.40742e8
82.0,1.40742e8
83.0,1.40742e8
84.0,1.40742e8
85.0,1.40742e8
86.0,1.40742e8
87.0,1.40742e8
88.0,1.40742e8
89.0,1.40742e8
90.0,1.40742e8
91.0,1.40742e8
92.0,1.40742e8
93.0,1.40742e8
94.0,1.40742e8
95.0,1.40742e8
96.0,1.40742e8
97.0,1.40742e8
98.0,1.40742e8
99.0,1.40742e8
100.0,1.40742e8
101.0,1.40742e8
102.0,1.40742e8
103.0,1.40742e8
104.0,1.40742e8
105.0,1.40742e8
106.0,1.40742e8
107.0,1.40742e8
108.0,1.40742e8
109.0,1.40742e8
110.0,1.40742e8
111.0,1.40742e8
112.0,1.40742e8
113.0,1.40742e8
114.0,1.40742e8
115.0,1.40742e8
116.0,1.40742e8
117.0,1.40742e8
118.0,1.40742e8
119.0,1.40742e8
120.0,1.40742e8
121.0,1.40742e8
122.0,1.40742e8
