InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.01
6,0.01
7,0.12
8,0.43
9,0.71
10,0.88
11,0.99
12,1.0
13,0.99
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
