InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.01
8,0.11
9,0.3
10,0.56
11,0.9
12,0.98
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
