InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.01
8,0.21
9,0.31
10,0.55
11,0.84
12,0.96
13,0.99
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
