InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.009
7,0.063
8,0.267
9,0.572
10,0.8
11,0.951
12,0.986
13,0.996
14,1.0
15,1.0
