InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.022
5,0.154
6,0.485
7,0.8
8,0.942
9,0.993
10,0.999
11,0.999
12,1.0
13,1.0
14,1.0
15,1.0
