InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.001
6,0.038
7,0.163
8,0.542
9,0.793
10,0.96
11,0.994
12,0.999
13,0.999
14,1.0
15,1.0
