InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.004
6,0.061
7,0.26
8,0.609
9,0.88
10,0.978
11,0.996
12,1.0
13,1.0
14,1.0
15,1.0
