InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.001
7,0.023
8,0.15
9,0.427
10,0.723
11,0.91
12,0.986
13,0.999
14,1.0
15,1.0
