InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.0
5,0.056
6,0.303
7,0.684
8,0.891
9,0.985
10,0.998
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
