InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.004
5,0.087
6,0.343
7,0.718
8,0.909
9,0.986
10,0.998
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
