InitialBacteria,Prob_survive
1,0.0
2,0.0
3,0.0
4,0.009
5,0.124
6,0.406
7,0.766
8,0.935
9,0.984
10,0.997
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
