time,Ptimeseries
0.0,1.0e7
0.1,9.8975e6
0.2,9.7991e6
0.30000000000000004,9.7004e6
0.4,9.6017e6
0.5,9.505e6
0.6000000000000001,9.4051e6
0.7000000000000001,9.3098e6
0.8,9.2119e6
0.9,9.1151e6
1.0,9.0249e6
1.1,8.9282e6
1.2000000000000002,8.837e6
1.3,8.7429e6
1.4000000000000001,8.6482e6
1.5,8.557e6
1.6,8.4656e6
1.7000000000000002,8.3766e6
1.8,8.2908e6
1.9000000000000001,8.2061e6
2.0,8.1218e6
2.1,8.032e6
2.2,7.9494e6
2.3000000000000003,7.8621e6
2.4000000000000004,7.7766e6
2.5,7.6968e6
2.6,7.6176e6
2.7,7.531e6
2.8000000000000003,7.4463e6
2.9000000000000004,7.3671e6
3.0,7.2859e6
3.1,7.2063e6
3.2,7.1249e6
3.3000000000000003,7.0504e6
3.4000000000000004,6.9726e6
3.5,6.8977e6
3.6,6.822e6
3.7,6.7509e6
3.8000000000000003,6.6753e6
3.9000000000000004,6.6012e6
4.0,6.5264e6
4.1000000000000005,6.4534e6
4.2,6.3806e6
4.3,6.3077e6
4.4,6.2395e6
4.5,6.1692e6
4.6000000000000005,6.0992e6
4.7,6.0284e6
4.800000000000001,5.9618e6
4.9,5.8903e6
5.0,5.823e6
5.1000000000000005,5.7561e6
5.2,5.6865e6
5.300000000000001,5.6157e6
5.4,5.5486e6
5.5,5.4868e6
5.6000000000000005,5.4204e6
5.7,5.355e6
5.800000000000001,5.2922e6
5.9,5.2254e6
6.0,5.1648e6
6.1000000000000005,5.1059e6
6.2,5.046e6
6.300000000000001,4.9883e6
6.4,4.9316e6
6.5,4.8708e6
6.6000000000000005,4.8131e6
6.7,4.755e6
6.800000000000001,4.6975e6
6.9,4.6406e6
7.0,4.581e6
7.1000000000000005,4.5238e6
7.2,4.4672e6
7.300000000000001,4.4105e6
7.4,4.3572e6
7.5,4.3001e6
7.6000000000000005,4.2453e6
7.7,4.1964e6
7.800000000000001,4.142e6
7.9,4.0893e6
8.0,4.0386e6
8.1,3.9874e6
8.200000000000001,3.9353e6
8.3,3.8812e6
8.4,3.8304e6
8.5,3.7818e6
8.6,3.7393e6
8.700000000000001,3.6921e6
8.8,3.6432e6
8.9,3.5921e6
9.0,3.5417e6
9.1,3.4972e6
9.200000000000001,3.451e6
9.3,3.4089e6
9.4,3.3656e6
9.5,3.3231e6
9.600000000000001,3.2804e6
9.700000000000001,3.24e6
9.8,3.194e6
9.9,3.1512e6
10.0,3.1077e6
